Size_sqft,Bedrooms,Age_years,Price
0,3974,4,49,653000.0
1,1660,5,17,342000.0
2,2094,1,49,319000.0
3,1930,5,2,344000.0
4,1895,5,2,343000.0
5,3892,1,28,562000.0
6,2438,1,23,385000.0
7,2969,1,37,467000.0
8,1266,1,32,197000.0
9,2038,4,33,368000.0
10,1130,3,1,197000.0
11,2282,3,19,381000.0
12,2935,1,2,427000.0
13,3971,3,44,603000.0
14,3719,3,26,607000.0
15,930,1,32,134000.0
16,2485,3,6,439000.0
17,1569,5,32,305000.0
18,3191,2,4,561000.0
19,2315,2,11,374000.0
20,3653,1,17,526000.0
21,3233,4,38,525000.0
22,2015,1,24,286000.0
23,1755,4,5,340000.0
24,3124,2,34,482000.0
25,1984,1,6,307000.0
26,1259,5,22,250000.0
27,821,3,11,177000.0
28,3100,4,48,492000.0
29,1547,3,16,285000.0
30,3704,3,33,605000.0
31,1274,1,9,195000.0
32,1882,3,6,306000.0
33,3358,5,16,560000.0
34,2847,3,29,472000.0
35,3547,1,3,547000.0
36,1775,5,20,344000.0
37,2606,2,36,438000.0
38,989,3,19,188000.0
39,3805,1,26,557000.0
40,3534,2,3,580000.0
41,3805,2,19,592000.0
42,1362,4,20,272000.0
43,2699,5,32,485000.0
44,2067,3,7,332000.0
45,3679,1,41,574000.0
46,2328,4,33,411000.0
47,1446,5,40,260000.0
48,2868,4,39,477000.0
49,3688,5,18,624000.0
50,3014,5,40,508000.0
51,2097,3,1,376000.0
52,3235,5,11,583000.0
53,1400,4,28,256000.0
54,3163,5,25,564000.0
55,2861,3,23,482000.0
56,1041,3,31,190000.0
57,2841,4,30,475000.0
58,3624,2,42,530000.0
59,3412,2,35,494000.0
60,3745,5,7,637000.0
61,2163,1,16,314000.0
62,2939,5,26,502000.0
63,2190,4,48,354000.0
64,3803,4,49,570000.0
65,2278,4,2,408000.0
66,3356,4,1,555000.0
67,1575,4,48,274000.0
68,834,3,12,146000.0
69,3053,2,5,479000.0
70,3952,4,37,666000.0
71,2755,1,32,415000.0
72,2385,1,9,379000.0
73,3873,1,41,550000.0
74,1821,1,35,318000.0
75,3413,3,19,584000.0
76,1929,1,48,308000.0
77,2300,4,16,414000.0
78,1502,5,3,299000.0
79,3249,1,20,501000.0
80,3577,3,24,591000.0
81,2379,3,33,373000.0
82,961,1,24,138000.0
83,1001,5,11,186000.0
84,2781,1,49,392000.0
85,1795,3,8,343000.0
86,3117,2,36,473000.0
87,1615,4,38,277000.0
88,1255,3,40,220000.0
89,2075,1,20,284000.0
90,1816,4,35,334000.0
91,3143,1,48,488000.0
92,3567,1,25,545000.0
93,1137,2,35,216000.0
94,1678,4,25,273000.0
95,1876,4,29,364000.0
96,1591,2,18,245000.0
97,3064,3,46,456000.0
98,1563,1,18,236000.0
99,3035,5,2,567000.0
