Annual_Income,Monthly_Spend
0,32484.0,1434.0
1,29309.0,1832.0
2,33238.0,1863.0
3,37615.0,1679.0
4,28829.0,1935.0
5,28829.0,2162.0
6,37896.0,2754.0
7,33837.0,2070.0
8,27653.0,2103.0
9,32713.0,1970.0
10,27683.0,1232.0
11,27671.0,1989.0
12,31210.0,2024.0
13,20434.0,2985.0
14,21375.0,1923.0
15,27189.0,2121.0
16,24936.0,1986.0
17,31571.0,1533.0
18,25460.0,2457.0
19,22938.0,2301.0
20,37328.0,2316.0
21,28871.0,1636.0
22,30338.0,2561.0
23,22876.0,1439.0
24,27278.0,2235.0
25,30555.0,2876.0
26,24245.0,1604.0
27,31878.0,1773.0
28,26997.0,2040.0
29,28542.0,1799.0
30,26991.0,1380.0
31,39261.0,2027.0
32,29933.0,1575.0
33,24711.0,2189.0
34,34113.0,1632.0
35,23896.0,2620.0
36,31044.0,1687.0
37,20202.0,1871.0
38,23359.0,2325.0
39,30984.0,1508.0
40,33692.0,2091.0
41,30857.0,2523.0
42,29422.0,1357.0
43,28494.0,2074.0
44,22607.0,2104.0
45,26401.0,2313.0
46,27697.0,1505.0
47,35286.0,1472.0
48,31718.0,2209.0
49,21185.0,2119.0
50,31620.0,2100.0
51,28075.0,2139.0
52,26615.0,1728.0
53,33058.0,2093.0
54,35155.0,2117.0
55,34656.0,1714.0
56,25804.0,2746.0
57,28454.0,2190.0
58,31656.0,1523.0
59,34878.0,2263.0
60,27604.0,1610.0
61,29072.0,2315.0
62,24468.0,2463.0
63,24019.0,1672.0
64,34063.0,2385.0
65,36781.0,2165.0
66,29640.0,2329.0
67,35018.0,2759.0
68,31808.0,1902.0
69,26774.0,1699.0
70,31807.0,1644.0
71,37690.0,1674.0
72,29821.0,1969.0
73,37823.0,2136.0
74,16901.0,2111.0
75,34110.0,2331.0
76,30435.0,2005.0
77,28505.0,2581.0
78,30459.0,1894.0
79,20062.0,3088.0
80,28902.0,2250.0
81,31786.0,1657.0
82,37389.0,1572.0
83,27409.0,2193.0
84,25958.0,1911.0
85,27491.0,2286.0
86,34577.0,2189.0
87,31644.0,1971.0
88,27351.0,1661.0
89,32566.0,1394.0
90,30485.0,1821.0
91,34843.0,2343.0
92,26490.0,2086.0
93,28362.0,1502.0
94,28039.0,2069.0
95,22682.0,2154.0
96,31481.0,1646.0
97,31305.0,2061.0
98,30026.0,2023.0
99,28827.0,1543.0
100,92862.0,7337.0
101,94486.0,7552.0
102,98664.0,8598.0
103,98430.0,8488.0
104,78979.0,7983.0
105,82497.0,8094.0
106,94120.0,9022.0
107,94110.0,7527.0
108,94120.0,8438.0
109,120822.0,7838.0
110,94567.0,7826.0
111,99085.0,8879.0
112,97632.0,8660.0
113,95211.0,8651.0
114,87478.0,9044.0
115,96072.0,8017.0
116,83817.0,8546.0
117,88105.0,7752.0
118,86117.0,8259.0
119,90655.0,7896.0
120,108517.0,8078.0
121,75062.0,8476.0
122,95490.0,7345.0
123,77098.0,9674.0
124,86225.0,7195.0
125,98712.0,7029.0
126,90514.0,8926.0
127,81378.0,8633.0
128,84278.0,8499.0
129,95437.0,8503.0
130,84157.0,7990.0
131,91732.0,7282.0
132,90365.0,8061.0
133,84787.0,7458.0
134,107152.0,8780.0
135,95071.0,7882.0
136,73799.0,7340.0
137,91492.0,7743.0
138,84706.0,8330.0
139,96819.0,7549.0
140,83660.0,7342.0
141,89082.0,8195.0
142,94040.0,8196.0
143,96926.0,7594.0
144,80398.0,7623.0
145,87324.0,8186.0
146,86200.0,6842.0
147,84773.0,6874.0
148,104124.0,7425.0
149,93240.0,7829.0
150,79913.0,8249.0
151,97343.0,9180.0
