TransactionID,Date,Time,Item,Quantity,PricePerItem,TotalPrice,PaymentMethod
68a8a5f3-2ca7-49c9-801b-7b944c2ab709,2025-09-08,08:15:23,Cappuccino,1.0,3.5,3.5,Credit Card
6a474229-ad5b-4234-8a80-6c6391a30825,2025-09-01,08:22:11,Latte,2.0,4.0,8.0,Cash
25de5f22-0712-4af4-808b-82fc7f71992d,2025-09-12,08:35:46,Espresso,1.0,2.75,2.75,Mobile Pay
123253e8-b809-42a8-89f1-9bf70284e40e,2025-09-03,08:50:39,Croissant,1.0,2.5,2.5,Credit Card
1994d839-d347-4193-a2c2-dc85ba6d84f2,2025-09-07,09:00:02,Americano,1.0,3.0,3.0,
c0675efa-c935-4293-aa5a-12609c37a036,2025-09-02,09:05:55,Mocha,,4.25,,Mobile Pay
48d902fb-d34e-40fe-ae4e-93a22d4023b6,2025-09-15,09:15:08,Tea,1.0,,2.25,Credit Card
1a2f5eb6-5237-4436-b5f6-a52e35f45827,2025-09-05,09:30:42,Latte,1.0,4.0,4.0,Mobile Pay
2526a116-09dc-4339-97d0-104d04110f6a,2025-09-04,09:45:14,Bagel,1.0,2.75,2.75,Cash
146ca618-bab0-471f-b577-bf60072fd2a7,2025-09-10,10:00:27,Cappuccino,2.0,3.5,7.0,Credit Card
e57c36f1-820e-406b-b573-6cf24a7af870,2025-09-18,10:15:50,Espresso,1.0,2.75,,Cash
d071bb3b-6a3c-4e83-a98b-656f4dfa8340,2025-09-21,10:30:19,,1.0,3.25,3.25,Credit Card
ca5d41da-65ae-4a84-a10f-27fd65427808,2025-09-06,10:45:34,Mocha,2.0,,,Mobile Pay
3711538c-9f80-40d8-89cb-9139445c5b02,2025-09-09,11:00:06,Bagel,1.0,2.75,2.75,
a301c09c-ddfc-4180-906f-cd7ef3043c9b,2025-09-14,11:15:51,Croissant,,2.5,,Credit Card
8eff2981-a8de-49ee-b582-6570cdb342d4,2025-09-11,11:30:45,Latte,1.0,4.0,4.0,Credit Card
c7fb8b84-0f5e-4848-846d-7fb67e3ee167,2025-09-13,11:45:29,Cappuccino,2.0,3.5,7.0,Cash
7eed11cc-2334-4515-88d7-89127fbe52e8,2025-09-16,12:00:03,,,,,
c6d48156-703a-47da-8c72-d12a81fe5d91,2025-09-17,12:15:59,Tea,1.0,2.25,2.25,Credit Card
f499f287-4353-4a05-9566-73a05cf8725f,2025-09-19,12:30:12,Americano,1.0,3.0,3.0,Cash
ddd19d0f-37d0-4092-8949-413e0935a14f,2025-09-20,12:45:36,Cappuccino,1.0,3.5,3.5,Credit Card
ab0c09ec-1cd1-4a16-b81e-95048427ed83,2025-09-22,13:00:28,Latte,2.0,4.0,8.0,Mobile Pay
2fc96ece-9462-4402-a262-09ec55b57fe8,2025-09-23,13:15:17,Muffin,1.0,2.75,2.75,Cash
e5a0353f-78ac-4c56-91ac-72e0d67d302e,2025-09-24,13:30:54,Brownie,1.0,2.5,2.5,
46d70bff-931b-4c22-8b1e-a0d73618f469,2025-09-25,13:45:31,Espresso,,2.75,,Credit Card
41d62137-c561-4c37-8134-b4869aaa0efd,2025-09-26,14:00:09,Latte,1.0,,,Cash
