TransactionID,DateTime,Item,PricePerItem,Quantity,TotalPrice,PaymentMethod,Hour,Minute
63818a14-5896-4b68-8dfc-baa0b2b4420b,2025-09-08 08:15:23,Cappuccino,4.2,1.0,4.2,Credit Card,8,15
14fc523e-3888-46e1-820f-31e992f4f7e7,2025-09-01 08:22:11,Latte,4.8,2.0,9.6,Cash,8,22
297deea1-cb97-455b-b42f-58765406759e,2025-09-12 08:35:46,Espresso,3.3,1.0,3.3,Mobile Pay,8,35
9cc92875-5beb-4c3a-ae6e-87b74c6c8cfe,2025-09-03 08:50:39,Croissant,3.0,1.0,3.0,Credit Card,8,50
ce69c9ff-723f-42ec-9645-b641e535f023,2025-09-02 09:05:55,Mocha,5.1,1.0,5.1,Mobile Pay,9,5
6b1d45b7-404d-40e4-a544-51871879b5a7,2025-09-15 09:15:08,Tea,2.7,1.0,2.7,Credit Card,9,15
fa6b13a7-836f-4ee4-91a0-489fa545ec76,2025-09-05 09:30:42,Latte,4.8,1.0,4.8,Mobile Pay,9,30
8c0260cc-733a-45a1-a445-6d7b2fbfe73e,2025-09-04 09:45:14,Bagel,3.3,1.0,3.3,Cash,9,45
668e627c-956a-4243-a46b-c470d9b67e4c,2025-09-10 10:00:27,Cappuccino,4.2,2.0,8.4,Credit Card,10,0
548c52dc-e087-4138-8d14-ed09365e8619,2025-09-18 10:15:50,Espresso,3.3,1.0,3.3,Cash,10,15
7cad30b5-ca04-48ba-a90f-d764793eb241,2025-09-06 10:45:34,Mocha,5.1,2.0,10.2,Mobile Pay,10,45
393d6f93-82e2-4c39-98b8-7a0be33559e7,2025-09-14 11:15:51,Croissant,3.0,1.0,3.0,Credit Card,11,15
82f6cb51-72c8-43bf-ac32-26698bc313d0,2025-09-11 11:30:45,Latte,4.8,1.0,4.8,Credit Card,11,30
11bb19f4-9a81-41bb-bd22-515290715f49,2025-09-13 11:45:29,Cappuccino,4.2,2.0,8.4,Cash,11,45
7e133ece-1f11-458d-8dba-0a83a9d8f67e,2025-09-17 12:15:59,Tea,2.7,1.0,2.7,Credit Card,12,15
a2c5adef-6c0a-492a-9fc6-7f592e22f751,2025-09-19 12:30:12,Americano,3.6,1.0,3.6,Cash,12,30
22f913d8-2d51-4468-9a48-1eaef7823b50,2025-09-20 12:45:36,Cappuccino,4.2,1.0,4.2,Credit Card,12,45
b88cdbef-1c70-4bc0-b126-24cc41373640,2025-09-22 13:00:28,Latte,4.8,2.0,9.6,Mobile Pay,13,0
baae3b6c-05a1-4970-b8c5-4492230ac87c,2025-09-23 13:15:17,Muffin,3.3,1.0,3.3,Cash,13,15
90271b90-da7e-4d3a-868c-51dd6bbb1f74,2025-09-25 13:45:31,Espresso,3.3,1.0,3.3,Credit Card,13,45
c76d9994-f2ea-4b39-baee-6d792d7f6f18,2025-09-26 14:00:09,Latte,4.8,1.0,4.8,Cash,14,0
